week_date,date_format,segment,day_number,month_number,year_number,age_band,demographic,transactions,sales,region,avg_transaction,platform,week_day,week_number
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,120631,3656163,ASIA,30,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,31574,996575,ASIA,32,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,529151,16509610,USA,31,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,4517,141942,EUROPE,31,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,58046,1758388,AFRICA,30,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,1336,243878,CANADA,183,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,2514,519502,AFRICA,207,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,2158,371417,ASIA,172,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,318,49557,AFRICA,156,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,111032,3888162,AFRICA,35,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,1398,260773,USA,187,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,4661,882690,OCEANIA,189,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,1029,38762,"SOUTH AMERICA",38,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,6,917,"SOUTH AMERICA",153,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,115,35215,EUROPE,306,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,551905,30371770,OCEANIA,55,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,1969,374327,ASIA,190,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,97604,5185233,AFRICA,53,Retail,Monday,35
